"category","expertneeded","length","name","stub"
"Category:Fields of application of statistics",False,599,"Longitudinal data system",False
"Category:Information, knowledge, and uncertainty",False,4608,"State prices",False
"Category:Data analysis",False,2806,"Whitening transformation",False
"Category:Decision theory",False,1493,"CC–PP game",False
"Category:Fields of application of statistics",False,819,"Interest at maturity",False
"Category:Fields of application of statistics",False,4562,"Epidemiology of child psychiatric disorders",False
"Category:Stochastic processes",False,3875,"Paley–Wiener integral",False
"Category:Statistical theory",False,13394,"Noisy-channel coding theorem",False
"Category:Statistical data sets",False,13402,"Family planning in India",False
"Category:Fields of application of statistics",False,631,"Gating signal",False
"Category:Fields of application of statistics",False,620,"Zebra patterning",False
"Category:Statistical distance measures",False,17804,"MinHash",False
"Category:Summary statistics",True,1934,"Higher-order statistics",True
"Category:Statistical inference",False,8484,"Twisting properties",False
"Category:Design of experiments",False,11928,"Damm algorithm",False
"Category:Fields of application of statistics",False,2530,"Microsoft Reaction Card Method (Desirability Testing)",False
"Category:Fields of application of statistics",False,14104,"Values scale",False
"Category:Information, knowledge, and uncertainty",False,3316,"Spatial–temporal reasoning",False
"Category:Fields of application of statistics",False,2299,"Network theory of aging",False
"Category:Fields of application of statistics",False,5209,"Alexander Jobson",False
"Category:Fields of application of statistics",False,5244,"A derivation of the discrete Fourier transform",False
"Category:Statistical organizations",False,4520,"Maths, Stats & OR Network",False
"Category:Statistical data coding",False,43,"ISO 3166-1:VE",False
"Category:Fields of application of statistics",False,18760,"Robert Corruccini",False
"Category:Statistical data coding",False,56,"ISO 3166-1:VG",False
"Category:Fields of application of statistics",False,9672,"Opponent process",False
"Category:Statistical data coding",False,46,"ISO 3166-1:VA",False
"Category:Statistical laws",False,36231,"Regression toward the mean",False
"Category:Statistical data coding",False,66,"ISO 3166-1:VC",False
"Category:Statistical data coding",False,41,"ISO 3166-1:VN",False
"Category:Statistical theory",False,2617,"Jan Sloot",False
"Category:Statistical data coding",False,62,"ISO 3166-1:VI",False
"Category:Statistical theory",False,6333,"Quantum depolarizing channel",False
"Category:Fields of application of statistics",False,95,"AMSEC",False
"Category:Statistical data coding",False,41,"ISO 3166-1:VU",False
"Category:Statistical organizations",False,9538,"Eugene Lukacs",False
"Category:Fields of application of statistics",False,5325,"Acutance",False
"Category:Statistical data sets",False,1191,"Statistics Finland",False
"Category:Statistical software",False,6463,"IcCube",False
"Category:Data collection",False,1725,"Planetary phase",False
"Category:Statistical data sets",False,89,"Demographics of Transnistria",False
"Category:Fields of application of statistics",False,1877,"SLAMD Example Job Classes",False
"Category:Data analysis",False,3280,"Currency strength",False
"Category:Fields of application of statistics",False,4868,"Whipple's index",False
"Category:Information, knowledge, and uncertainty",False,7026,"Longest common substring problem",False
"Category:Fields of application of statistics",False,5890,"Pitch correction",False
"Category:Rankings",False,2328,"International rankings of Mongolia",False
"Category:Statistical theory",False,5909,"Inverse distribution",False
"Category:Stochastic processes",False,15802,"Stochastic resonance",False
"Category:Statistical theory",False,6620,"AggreGate Platform",False
"Category:Fields of application of statistics",False,5223,"Technology management",False
"Category:Fields of application of statistics",False,3185,"Applied Psychological Measurement",False
"Category:Data collection",False,2024,"Intelligence Minister of Israel",False
"Category:Fields of application of statistics",False,3632,"Human disease network",False
"Category:Data collection",False,2105,"Kazakh National Security",False
"Category:Fields of application of statistics",False,24481,"NWSL records and statistics",False
"Category:Information, knowledge, and uncertainty",False,30566,"Mathematical model",False
"Category:Decision theory",False,3485,"Strategic Negotiations",False
"Category:Statisticians",False,4047,"Jeff Gill",False
"Category:Fields of application of statistics",False,5407,"Plus-minus",False
"Category:Data collection",False,14563,"Titan Rain",False
"Category:Statistical data coding",False,9186,"Municipalities and communities of Greece",False
"Category:Statistical theory",False,999,"Yobibyte",False
"Category:Information, knowledge, and uncertainty",False,27514,"Latent semantic indexing",False
"Category:Fields of application of statistics",False,5963,"Notional amount",False
"Category:Fields of application of statistics",False,1655,"Short Oligonucleotide Analysis Package",False
"Category:Computational statistics",False,4868,"Yamartino method",False
"Category:Fields of application of statistics",False,38169,"Workers' compensation",False
"Category:Decision theory",False,19595,"Envy-free",False
"Category:Multivariate statistics",False,5472,"Quadratic form (statistics)",False
"Category:Fields of application of statistics",False,3790,"Systems medicine",False
"Category:Fields of application of statistics",False,3101,"Maslowian portfolio theory",False
"Category:Information, knowledge, and uncertainty",False,1715,"DogmaModeler",False
"Category:Statistical theory",False,3055,"ZeoSync",False
"Category:Information, knowledge, and uncertainty",False,26775,"Foreign object damage",False
"Category:Information, knowledge, and uncertainty",False,18735,"Dividend policy",False
"Category:Statisticians",False,8880,"Alberto Beneduce",False
"Category:Decision theory",False,11446,"Samuel Karlin",False
"Category:Information, knowledge, and uncertainty",False,5696,"Lead single",False
"Category:Fields of application of statistics",False,5858,"Design Review Based on Failure Mode",False
"Category:Data analysis",False,2160,"Mining Software Repositories",False
"Category:Statistical data coding",False,13621,"Limousin",False
"Category:Fields of application of statistics",False,5974,"Biocultural diversity",False
"Category:Statistical theory",False,2994,"Analytic and enumerative statistical studies",True
"Category:Statistical data sets",False,9578,"Demographics of Saint Lucia",False
"Category:Probability distributions",False,6398,"Markov's inequality",False
"Category:Design of experiments",False,4764,"Associative magic square",False
"Category:Fields of application of statistics",False,14342,"IGES",False
"Category:Design of experiments",False,1297,"Harvard alumni health study",False
"Category:Sampling (statistics)",False,10746,"Funding bias",False
"Category:Information, knowledge, and uncertainty",False,1543,"Artist development deal",False
"Category:Design of experiments",False,28847,"Caerphilly Heart Disease Study",False
"Category:Statistics stubs",False,2314,"National Institute of Statistics of Bolivia",True
"Category:Fields of application of statistics",False,7939,"Overshoot (signal)",False
"Category:Fields of application of statistics",False,4251,"Continuous-flow manufacturing",False
"Category:Data collection",False,1989,"Club de Berne",False
"Category:Fields of application of statistics",False,6032,"African Americans and Birth Control",False
"Category:Fields of application of statistics",False,2256,"AlphaIC",False
"Category:Information, knowledge, and uncertainty",False,5986,"Policy uncertainty",False
"Category:Fields of application of statistics",False,2001,"Experimentalist approach to econometrics",False
"Category:Data analysis",False,9900,"Boosting (machine learning)",False
"Category:Decision theory",False,993,"Political endorsement",False
"Category:Information, knowledge, and uncertainty",False,3444,"ITGC",False
"Category:Statisticians",False,12954,"Drew Cannon",False
"Category:Statisticians",False,11158,"Maurice René Fréchet",False
"Category:Data collection",False,3017,"Nuller",False
"Category:Statistical data sets",False,3075,"Australian Bird Count",False
"Category:Information, knowledge, and uncertainty",False,10026,"Intangible asset finance",False
"Category:Fields of application of statistics",False,14256,"Charles Loring Brace",False
"Category:Information, knowledge, and uncertainty",False,12915,"Limitations and exceptions to copyright",False
"Category:Fields of application of statistics",False,11465,"Muscle atrophy",False
"Category:Data collection",False,8175,"National Intelligence Estimate",False
"Category:Statistical organizations",False,6519,"National Statistical Office of Thailand",False
"Category:Computational statistics",False,12311,"TraPPE force field",False
"Category:Fields of application of statistics",False,116,"Retirement migration",False
"Category:Fields of application of statistics",False,5870,"Transmission risks and rates",False
"Category:Fields of application of statistics",False,22236,"Women migrant workers from developing countries",False
"Category:Statistical data sets",False,135,"Emigration from the former Yugoslavia",False
"Category:Fields of application of statistics",False,3122,"Assessment centre",False
"Category:Stochastic processes",False,2650,"Two-level scheduling",False
"Category:Statistical terminology",False,25150,"Degrees of freedom (statistics)",False
"Category:Decision theory",False,8990,"Voter apathy",False
"Category:Stochastic processes",False,2426,"Gamma process",False
"Category:Summary statistics",False,3662,"Fréchet mean",False
"Category:Statistical tests",False,5914,"Breusch–Godfrey test",False
"Category:Statistical data coding",False,204781,"Wales",False
"Category:Stochastic processes",False,23797,"White noise",False
"Category:Information, knowledge, and uncertainty",False,1235,"Favourite-longshot bias",False
"Category:Data collection",False,3497,"Camp 020",False
"Category:Fields of application of statistics",False,3723,"Video processing",False
"Category:Fields of application of statistics",False,5803,"Robot Framework",False
"Category:Fields of application of statistics",False,1959,"Invoke Image Display",False
"Category:Statistics stubs",False,732,"Attributable risk percent",True
"Category:Rankings",False,8944,"International rankings of Malaysia",False
"Category:Statistical data coding",False,26709,"South Holland",False
"Category:Data collection",False,6850,"Bounce rate",False
"Category:Statistical data coding",False,8810,"Flemish Brabant",False
"Category:Statistical inference",False,3339,"Inverse probability",False
"Category:Stochastic processes",False,6190,"Pullback attractor",False
"Category:Fields of application of statistics",False,4486,"Black–Litterman model",False
"Category:Data collection",False,2789,"Single customer view",False
"Category:Fields of application of statistics",False,2669,"Wolfe duality",False
"Category:Fields of application of statistics",False,11864,"Brian Perry (veterinarian)",False
"Category:Statistical data coding",False,33303,"Municipalities of Lithuania",False
"Category:Information, knowledge, and uncertainty",False,9420,"Access to knowledge movement",False
"Category:Fields of application of statistics",False,24192,"WTA Awards",False
"Category:Probability distributions",False,9684,"Geometric stable distribution",False
"Category:Data collection",False,7759,"PowerLab",False
"Category:Fields of application of statistics",False,2628,"Protein Information Resource",False
"Category:Probability distributions",False,30836,"Negative binomial distribution",False
"Category:Data collection",False,1421,"Crude Oil Data Exchange",False
"Category:Data collection",False,1371,"Visual business intelligence",False
"Category:Statistical software",False,32394,"MeVisLab",False
"Category:Statisticians",False,5912,"Sedley Cudmore",False
"Category:Statistical theory",False,3690,"Parity-check matrix",False
"Category:Fields of application of statistics",False,14472,"Statistical arbitrage",False
"Category:Information, knowledge, and uncertainty",False,2555,"Cross-border injunction",False
"Category:Fields of application of statistics",False,3088,"Pulse (signal processing)",False
"Category:Information, knowledge, and uncertainty",False,3032,"Overaccumulation",False
"Category:Statistical data sets",False,2440,"Chinese Household Income Project",False
"Category:Fields of application of statistics",False,73,"Sweating sickness epidemics",False
"Category:Statistical theory",False,6653,"Sequential decoding",False
"Category:Decision theory",False,14313,"Hostile media effect",False
"Category:Rankings",False,10815,"Satisfaction with Life Index",False
"Category:Decision theory",False,8945,"Jonathan Schaeffer",False
"Category:Data collection",False,16351,"Financial intelligence",False
"Category:Fields of application of statistics",False,7160,"Capital adequacy ratio",False
"Category:Statistical theory",False,1967,"Function approximation",True
"Category:Data collection",False,34892,"Intelligence cycle security",False
"Category:Fields of application of statistics",False,12386,"Child migration",False
"Category:Fields of application of statistics",False,3356,"Benefit financing model",False
"Category:Multivariate statistics",False,4863,"Feature extraction",False
"Category:Fields of application of statistics",False,1415,"European Pollutant Emission Register",False
"Category:Information, knowledge, and uncertainty",False,6616,"Elizabeth O'Bagy",False
"Category:Fields of application of statistics",False,7265,"Man and the Biosphere Programme",False
"Category:Fields of application of statistics",False,2257,"Financial econometrics",True
"Category:Statistical organizations",False,1830,"Journal of Business & Economic Statistics",True
"Category:Fields of application of statistics",False,4506,"Alok Bhargava",False
"Category:Statistical ratios",False,3369,"Fraction of variance unexplained",False
"Category:Fields of application of statistics",False,15366,"Rejuvenation (aging)",False
"Category:Fields of application of statistics",False,14057,"Reservoir simulation",False
"Category:Statisticians",False,3218,"Johann Peter Süssmilch",False
"Category:Fields of application of statistics",False,4073,"Toxin and Toxin-Target Database",False
"Category:Information, knowledge, and uncertainty",False,32169,"Agent-based model in biology",False
"Category:Information, knowledge, and uncertainty",False,957,"Liabilities Subject to Compromise",False
"Category:Information, knowledge, and uncertainty",False,3670,"Referer spoofing",False
"Category:Decision theory",False,1537,"Solutions for New Jersey",False
"Category:Statistical data sets",False,6865,"Acorn (demographics)",False
"Category:Statistical data coding",False,2016,"Adriatic Croatia",False
"Category:Information, knowledge, and uncertainty",False,15556,"Mereotopology",False
"Category:Stochastic processes",False,9275,"Event chain methodology",False
"Category:Decision theory",False,2220,"National Auctioneers Association",False
"Category:Statistical inference",False,9212,"Covariation model",False
"Category:Statistical theory",False,3611,"Hyper-encryption",False
"Category:Survey methodology",False,2433,"American Association for Public Opinion Research",False
"Category:Statistical theory",False,2650,"Laplace principle (large deviations theory)",False
"Category:Fields of application of statistics",False,26028,"Sampling (signal processing)",False
"Category:Fields of application of statistics",False,1412,"Bregman method",False
"Category:Fields of application of statistics",False,7042,"Host media processing",False
"Category:Fields of application of statistics",False,879,"Days in inventory",False
"Category:Fields of application of statistics",False,3185,"Paleodemography",False
"Category:Fields of application of statistics",False,24700,"Parent management training",False
"Category:Decision theory",False,3214,"E7 (countries)",False
"Category:Fields of application of statistics",False,553,"Clone manager",False
"Category:Data collection",False,2720,"Sasha (espionage)",False
"Category:Statistical awards",False,9677,"Ralph George Hawtrey",False
"Category:Statistical software",False,3604,"LIBSVM",False
"Category:Data collection",False,14263,"Teufelsberg",False
"Category:Data analysis",False,14564,"Candlestick pattern",False
"Category:Statisticians",False,3631,"Frederic J. Mouat",False
"Category:Fields of application of statistics",False,6151,"Security testing",False
"Category:Fields of application of statistics",False,2896,"Signal chain",False
"Category:Decision theory",False,1616,"Impartial game",False
"Category:Fields of application of statistics",False,11822,"Nested association mapping",False
"Category:Covariance and correlation",False,3205,"Moran's I",False
"Category:Fields of application of statistics",False,1693,"Signaling Compression",False
"Category:Statistical data coding",False,74989,"Alsace",False
"Category:Statistical data sets",False,1340,"Economic Vulnerability Index",False
"Category:Computational statistics",False,2052,"Peter Jaeckel",False
"Category:Statisticians",False,3042,"Erling Sverdrup",False
"Category:Statistical software",False,3848,"IGOR Pro",False
"Category:Multivariate statistics",False,8708,"Data stream clustering",False
"Category:Decision theory",False,803,"Politiquera",False
"Category:Statistical theory",False,853,"Time triple modular redundancy",False
"Category:Fields of application of statistics",False,3768,"Flat-field correction",False
"Category:Statisticians",False,4093,"Herman J. Adèr",False
"Category:Stochastic processes",False,2532,"Felix Pollaczek",False
"Category:Statistical software",False,7692,"MountainsMap",False
"Category:Rankings",False,34606,"Official Men's Squash World Ranking",False
"Category:Ethics and statistics",False,7413,"Ethical problems using children in clinical trials",False
"Category:Statistical data sets",False,7803,"Air transport in Yugoslavia",False
"Category:Fields of application of statistics",False,3903,"Fixed income analysis",False
"Category:Statistical data sets",False,10653,"Demographics of Venezuela",False
"Category:Information, knowledge, and uncertainty",False,26563,"Internal audit",False
"Category:Decision theory",False,2413,"Institute for Advanced Strategic and Political Studies",False
"Category:Decision theory",False,2742,"Perceptual psychology",False
"Category:Statistical software",False,2640,"RQDA",False
"Category:Fields of application of statistics",False,3164,"Football records in Denmark",False
"Category:Statistical data sets",False,9409,"CrimeView",False
"Category:Fields of application of statistics",False,82,".wdp",False
"Category:Data analysis",False,6907,"Lulu smoothing",False
"Category:Statistical data sets",False,3496,"FBI Criminal Justice Information Services Division",False
"Category:Fields of application of statistics",False,14141,"Economic data",False
"Category:Fields of application of statistics",False,10971,"Generic Model Organism Database",False
"Category:Statistics stubs",False,3203,"Nail Bakirov",False
"Category:Fields of application of statistics",False,16510,"Pulse-Doppler signal processing",False
"Category:Data collection",False,10094,"Atma Jayaram",False
"Category:Information, knowledge, and uncertainty",False,5388,"Joseph Weil",False
"Category:Computational statistics",False,2151,"EGS (program)",False
"Category:Data collection",False,3114,"Casualty estimation",False
"Category:Fields of application of statistics",False,3851,"Transstadial transmission",False
"Category:Fields of application of statistics",False,3153,"Selma Dritz",False
"Category:Fields of application of statistics",False,473,"Interest expense",False
"Category:Rankings",False,30881,"IKF World Korfball Ranking",False
"Category:Information, knowledge, and uncertainty",False,1806,"American Board of Professional Liability Attorneys",False
"Category:Statistical data sets",False,7460,"China Economic Databases",False
"Category:Stochastic processes",False,3511,"CFQ",False
"Category:Statistical data sets",False,13851,"Demographics of Liberia",False
"Category:Statistics stubs",False,2631,"Morisita's overlap index",True
"Category:Computational statistics",False,2728,"Canopy clustering algorithm",False
"Category:Statistics stubs",False,2339,"Peter Diggle",False
"Category:Fields of application of statistics",False,4358,"Equivalent rectangular bandwidth",False
"Category:Fields of application of statistics",False,9359,"Rankings of retirement destinations in the United States",False
"Category:Statistical data sets",False,4856,"Indian states and territories ranking by sex ratio",False
"Category:Information, knowledge, and uncertainty",False,3813,"Coin rolling scams",False
"Category:Fields of application of statistics",False,9504,"Uplift modelling",False
"Category:Statistical data sets",False,18645,"Demographics of the Maldives",False
"Category:Fields of application of statistics",False,174,"Donald Reid (epidemiologist)",False
"Category:Decision theory",False,3610,"Plurality (voting)",False
"Category:Information, knowledge, and uncertainty",False,7319,"Eric Maskin",False
"Category:Statistical theory",False,28444,"Random variable",False
"Category:Decision theory",False,20487,"Egalitarianism",False
"Category:Fields of application of statistics",False,75718,"Life extension",False
"Category:Statistical data coding",False,20559,"NUTS of the United Kingdom",False
"Category:Design of experiments",False,2694,"Conway's LUX method for magic squares",False
"Category:Fields of application of statistics",False,5465,"Genomatix",False
"Category:Information, knowledge, and uncertainty",False,2323,"VisiRule",False
"Category:Fields of application of statistics",False,17023,"Tour de France records and statistics",False
"Category:Decision theory",False,25481,"Ultimatum game",False
"Category:Information, knowledge, and uncertainty",False,1371,"WSMO",False
"Category:Statisticians",False,2980,"Pierre Gy",False
"Category:Fields of application of statistics",False,7902,"Steve Blinkhorn",False
"Category:Information, knowledge, and uncertainty",False,36520,"Ithkuil",False
"Category:Statistical data sets",False,1656,"Census Day",False
"Category:Decision theory",False,9666,"New Approach to Appraisal",False
"Category:Statistics journals",False,1109,"Foundations and Trends in Econometrics",True
"Category:Statistical data sets",False,2040,"Demographics of the Cook Islands",False
"Category:Fields of application of statistics",False,25810,"Saffir–Simpson hurricane wind scale",False
"Category:Fields of application of statistics",False,1856,"Eurocarbdb",False
"Category:Decision theory",False,10189,"DesignInquiry",False
"Category:Fields of application of statistics",False,93,".ani",False
"Category:Decision theory",False,5987,"Allan Gibbard",False
"Category:Fields of application of statistics",False,7478,"UK Native Seed Hub",False
"Category:Statistical data coding",False,4557,"Cantons of France",False
"Category:Fields of application of statistics",False,17953,"Effect Model law",False
"Category:Fields of application of statistics",False,4404,"Autocorrelator",False
"Category:Data collection",False,9211,"Raleigh Spy Conference",False
"Category:Statistical software",False,6345,"S (programming language)",False
"Category:Fields of application of statistics",False,5085,"Random optimization",False
"Category:Fields of application of statistics",False,2721,"Dark-frame subtraction",False
"Category:Statistics stubs",False,811,"Fluid limit",False
"Category:Decision theory",False,1399,"Impunity game",False
"Category:Statistical awards",False,1527,"George Box Medal",False
"Category:Decision theory",False,1678,"D-Sight",False
"Category:Data collection",False,14113,"Microwave auditory effect",False
"Category:Statisticians",False,7655,"Guido Castelnuovo",False
"Category:Fields of application of statistics",False,11495,"Infologs",False
"Category:Statisticians",False,8726,"Cyrus Derman",False
"Category:Statisticians",False,7184,"Bronwyn Harch",False
"Category:Fields of application of statistics",False,5503,"Fessenden oscillator",False
"Category:Fields of application of statistics",False,36321,"Latitudinal gradients in species diversity",False
"Category:Decision theory",False,8059,"Energy superpower",False
"Category:Sampling (statistics)",False,3466,"Cultural bias",False
"Category:Statistical theory",False,12883,"Bit error rate",False
"Category:Statistical models",False,1431,"Quantum Markov chain",False
"Category:Information, knowledge, and uncertainty",False,1666,"The Gift: Imagination and the Erotic Life of Property",False
"Category:Probability distributions",False,6021,"Memorylessness",False
"Category:Statistical organizations",False,1414,"Psychometric Society",False
"Category:Multivariate statistics",False,2056,"Scatter matrix",True
"Category:Probability distributions",False,14497,"Noncentral t-distribution",False
"Category:Statistical data sets",False,1204,"Cross-National Equivalent File",False
"Category:Rankings",False,3402,"International rankings of the Democratic Republic of the Congo",False
"Category:Decision theory",False,17413,"Name–letter effect",False
"Category:Data collection",False,5495,"ISO/IEC 80000",False
"Category:Rankings",False,395,"International rankings of Grenada",False
"Category:Rankings",False,2701,"Center for Measuring University Performance",False
"Category:Fields of application of statistics",False,2971,"Variance decomposition of forecast errors",False
"Category:Statistical data sets",False,3645,"Thousand Families Study, Newcastle upon Tyne",False
"Category:Decision theory",False,2953,"Act utilitarianism",False
"Category:Fields of application of statistics",False,14312,"Cubic Hermite spline",False
"Category:Decision theory",False,10058,"Global Environment and Trade Study",False
"Category:Statisticians",False,2690,"William Shaw Mason",False
"Category:Fields of application of statistics",False,19461,"Protein–protein interaction prediction",False
"Category:Fields of application of statistics",False,3290,"Chemical space",False
"Category:Fields of application of statistics",False,8859,"Time preference",False
"Category:Information, knowledge, and uncertainty",False,3677,"Tuberculosis classification",False
"Category:Fields of application of statistics",False,4550,"Scorecard of A. E. J. Collins",False
"Category:Fields of application of statistics",False,11385,"Telecommunications statistics in India",False
"Category:Statistical data sets",False,7844,"Demolinguistic descriptors used in Canada",False
"Category:Design of experiments",False,10543,"Twins Early Development Study",False
"Category:Information, knowledge, and uncertainty",False,55,"Contextual lie",False
"Category:Fields of application of statistics",False,4935,"Adam7 algorithm",False
"Category:Fields of application of statistics",False,28385,"Preclinical imaging",False
"Category:Rankings",False,3890,"International rankings of Brazil",False
"Category:Statistical theory",False,7568,"Delta method",False
"Category:Statistical data sets",False,8191,"LGBT people in Brazil",False
"Category:Fields of application of statistics",False,9841,"Quantitative marketing research",False
"Category:Stochastic processes",False,2608,"Weighted fair queueing",False
"Category:Decision theory",False,2532,"Full slate",False
"Category:Computational statistics",False,3354,"VEGAS algorithm",False
"Category:Data collection",False,11395,"General Intelligence Directorate (Egypt)",False
"Category:Statistical theory",False,3635,"Semiparametric model",False
"Category:Fields of application of statistics",False,43610,"Animatronics",False
"Category:Fields of application of statistics",False,13178,"Recurrent miscarriage",False
"Category:Information, knowledge, and uncertainty",False,2884,"Design around",False
"Category:Statistical data sets",False,34842,"Demographics of Kazakhstan",False
"Category:Statistical theory",False,14232,"Linear network coding",False
"Category:Decision theory",False,3883,"Conservatism (belief revision)",False
"Category:Statisticians",False,3163,"Mike Steel (mathematician)",False
"Category:Decision theory",False,3839,"M-ratio",False
"Category:Fields of application of statistics",False,10204,"Corrective feedback",False
"Category:Data collection",False,2047,"Business reporting",False
"Category:Fields of application of statistics",False,7584,"Crowdsourced testing",False
"Category:Information, knowledge, and uncertainty",False,9812,"Attribution of liability to United Kingdom companies",False
"Category:Data analysis",False,639,"Subgroup analysis",False
"Category:Fields of application of statistics",False,8060,"Population Studies Center at the University of Michigan",False
"Category:Fields of application of statistics",False,131549,"Abortion",False
"Category:Statistical tests",False,46015,"Omnibus test",False
"Category:Fields of application of statistics",False,1498,"Broker's call",False
"Category:Fields of application of statistics",False,74423,"Software testing",False
"Category:Fields of application of statistics",False,1727,"Zero-crossing rate",False
"Category:Decision theory",False,1792,"Rhyme-as-reason effect",False
"Category:Statisticians",False,4961,"Allan Birnbaum",False
"Category:Design of experiments",False,38557,"Plackett–Burman design",False
"Category:Statistical data types",False,10711,"International Innovation Index",False
"Category:Statisticians",False,42744,"John Wingate Thornton",False
"Category:Information, knowledge, and uncertainty",False,6885,"Triplestore",False
"Category:Data collection",False,3700,"Averted vision",False
"Category:Fields of application of statistics",False,5426,"Famine 1975! America's Decision: Who Will Survive?",False
"Category:Statistical data coding",False,2571,"Continental Portugal",False
"Category:Statistical theory",False,27095,"Maximum entropy thermodynamics",False
"Category:Fields of application of statistics",False,5720,"Convexity (finance)",False
"Category:Fields of application of statistics",False,14043,"Tasmania cricket team List A records",False
"Category:Statistical data sets",False,2529,"Vertrokken onbekend waarheen",False
"Category:Fields of application of statistics",False,2821,"Timeline of mass migration to post-war Europe",False
"Category:Decision theory",False,4139,"Institution Quraysh for Law & Policy",False
"Category:Fields of application of statistics",False,4044,"National Imagery Transmission Format",False
"Category:Data collection",False,4941,"Holby City woman",False
"Category:Information, knowledge, and uncertainty",False,4602,"Classification scheme",False
"Category:Decision theory",False,1080,"Silverman's game",False
"Category:Fields of application of statistics",False,6291,"Pearl Index",False
"Category:Sampling (statistics)",False,44446,"Conflict of interest",False
"Category:Data collection",False,3667,"Operation High Roller",False
"Category:Decision theory",False,6510,"Donald G. Saari",False
"Category:Information, knowledge, and uncertainty",False,23584,"Brownout (aeronautics)",False
"Category:Fields of application of statistics",False,2403,"Cone beam reconstruction",False
"Category:Information, knowledge, and uncertainty",False,4856,"David Bollier",False
"Category:Fields of application of statistics",False,35868,"Football records in Ukraine",False
"Category:Multivariate statistics",False,14562,"Multilinear subspace learning",False
"Category:Information, knowledge, and uncertainty",False,13544,"Vortex ring",False
"Category:Statistical data sets",False,3346,"Homelessness in Israel",False
