,expertneeded,name,stub,length
135,False,Principal component analysis,False,73849
136,False,Multivariate statistics,False,10432
137,False,Berry–Esseen theorem,False,12528
138,False,People v. Collins,False,2968
139,False,Formal science,False,7367
140,False,Cramér–Rao bound,False,19026
141,False,Bayesian search theory,False,7956
142,False,Comparison of general and generalized linear models,True,1641
143,False,Mean value analysis,False,6260
144,False,Quartile,False,7074
145,False,Median polish,True,1026
146,False,Low birth-weight paradox,False,4380
147,False,Transmission risks and rates,False,5870
148,False,Log-normal distribution,False,33778
149,False,Statistics Online Computational Resource,False,2522
150,False,Extremum estimator,False,4993
151,False,Total variation distance of probability measures,False,2075
152,False,Degrees of freedom (statistics),False,25150
153,False,Statistical assembly,True,1161
154,False,Gamma process,False,2426
155,False,Non-linear iterative partial least squares,True,2440
156,False,Breusch–Godfrey test,False,5914
157,False,Logistic distribution,False,10433
158,False,White noise,False,23797
159,False,Dependent and independent variables,False,9728
160,False,Jonckheere's trend test,False,10352
161,False,L-moment,False,17162
162,False,Allan variance,False,58627
163,False,Nearest-neighbor chain algorithm,False,20288
164,False,Inverse probability,False,3339
165,False,Mean difference,False,11361
166,False,Tyranny of averages,True,1560
167,False,Multinomial probit,False,3768
168,False,Differential entropy,False,20830
169,False,Accidental sampling,True,2068
170,False,GLIM (software),False,5103
171,False,Chapman–Kolmogorov equation,False,3723
172,False,Bean machine,False,3778
173,False,Isserlis' theorem,False,6108
174,False,Bertrand's ballot theorem,False,12654
175,False,Mantel test,False,4795
176,False,Crime statistics,False,12460
177,False,Flood risk assessment,False,6613
178,False,Exploratory factor analysis,False,28101
179,False,Negative binomial distribution,False,30836
180,False,Q-exponential distribution,False,5468
181,False,Data fusion,False,8973
182,False,Exponential-logarithmic distribution,False,7503
183,False,Multilevel model,False,22565
184,False,Statistical arbitrage,False,14472
185,False,Beta negative binomial distribution,False,4886
186,False,Exponentiated Weibull distribution,False,6183
187,False,Crossover study,False,7974
188,False,Sampling distribution,False,7190
189,False,Sequential estimation,True,915
190,False,Template:Statistics,False,12025
191,False,Predictive analytics,False,50890
192,False,Pitman closeness criterion,False,3680
193,False,Structural change,False,3838
194,False,Multiclass classification,False,4078
195,False,Feature extraction,False,4863
196,False,Paid survey,False,3389
197,False,Regression control chart,True,1150
198,False,Von Mises distribution,False,12954
199,False,Fraction of variance unexplained,False,3369
200,False,Procrustes analysis,False,11320
201,False,Homogeneity (statistics),False,4685
202,False,Generalized additive model,False,4578
203,False,Conditional change model,True,857
204,False,Epi Info,False,15508
205,False,Proportionality (mathematics),False,9781
206,False,Policy capturing,False,2536
207,True,Cointegration,False,10943
208,False,Statistical parsing,False,4661
209,False,Standard error,False,14286
210,False,Receiver operating characteristic,False,43385
211,False,Laplace principle (large deviations theory),False,2650
212,False,Generalizability theory,False,6530
213,False,Bayes error rate,True,2119
214,False,Divergence (statistics),False,7775
215,False,Filtering problem (stochastic processes),False,8286
216,False,Guess value,False,2159
217,False,Age stratification,False,3571
218,False,Binomial regression,False,12353
219,False,Empirical Bayes method,False,14661
220,False,Robust regression,False,20498
221,False,Coherence (philosophical gambling strategy),False,5428
222,False,Kish grid,True,2279
223,False,Mean time between failures,False,8040
224,False,Multivariate stable distribution,False,8850
225,False,Distribution fitting,False,12678
226,False,Best linear unbiased prediction,False,5520
227,False,Power transform,False,12422
228,False,Open-label trial,False,1490
229,False,Statistical proof,False,18878
230,False,Specification (regression),False,3329
231,False,Mean-preserving spread,False,4357
232,False,Control chart,False,27500
233,False,Lot quality assurance sampling,True,2769
234,False,Statistical semantics,False,14263
235,False,Linguistic demography,False,4172
236,False,Extended negative binomial distribution,False,3825
237,False,SAS language,False,1910
238,False,P-chart,False,7593
239,False,Pooled variance,False,5198
240,False,Generalized method of moments,False,19937
241,False,Cluster-weighted modeling,False,5898
242,False,High-dimensional statistics,False,4526
243,False,Inverse matrix gamma distribution,False,2468
244,False,Spatial dependence,False,2469
245,False,F-divergence,False,6474
246,False,Average,False,14558
247,False,Moffat distribution,False,2067
248,False,Additive model,False,2563
249,False,Population viability analysis,False,11646
250,False,Checking whether a coin is fair,False,17165
251,False,Probability-generating function,False,9376
252,False,Freidlin–Wentzell theorem,False,3322
253,False,Congruence coefficient,False,2708
254,False,Non-linear least squares,False,25418
255,False,Stimulus–response model,True,3486
256,False,False discovery rate,False,28008
257,False,Brownian excursion,False,10711
258,False,Reversible-jump Markov chain Monte Carlo,False,3079
259,False,Glossary of probability and statistics,False,17720
260,False,Fourier analysis,False,30521
261,False,Fishburn–Shepp inequality,False,1615
262,False,Local asymptotic normality,False,5255
263,False,Score test,False,6542
264,False,Wrapped Cauchy distribution,False,7750
265,False,Irwin–Hall distribution,False,6201
266,False,Feller process,False,4285
267,False,Economic data,False,14141
268,False,Cross-spectrum,False,2492
269,False,Quantile function,False,11822
270,False,Nested case-control study,False,5258
271,False,Lindley equation,False,3028
272,False,Test statistic,False,3125
273,False,Multidimensional Chebyshev's inequality,False,1629
274,True,Data binning,True,2425
275,False,Inverse Gaussian distribution,False,10781
276,False,Balanced repeated replication,False,4620
277,False,Elston–Stewart algorithm,True,1502
278,False,Cliodynamics,False,10558
279,False,Normal distribution,False,119123
280,False,Guesstimate,False,3927
281,False,Composite bar chart,True,701
282,False,Transition rate matrix,False,1554
283,True,Likelihood-ratio test,False,13526
284,False,Discrete frequency domain,False,1220
285,False,Morisita's overlap index,True,2631
286,False,Canopy clustering algorithm,False,2728
287,False,Probabilistic design,False,3745
288,False,Buzen's algorithm,False,4447
289,False,Bapat–Beg theorem,False,4811
290,False,Davis distribution,False,3410
291,False,Cochrane–Orcutt estimation,False,3720
292,False,Tampering (quality control),True,1304
293,False,McCullagh's parametrization of the Cauchy distributions,False,3940
294,False,Lady tasting tea,False,6265
295,False,Tikhonov regularization,False,13553
296,False,Banburismus,False,20773
297,False,Bates distribution,False,2874
298,False,Random variable,False,28444
299,False,Conditional probability,False,19195
300,False,Bispectrum,False,3401
301,False,Wiener process,False,24104
302,False,Törnqvist index,False,9756
303,False,Scan statistic,False,1149
304,False,Quasireversibility,False,4137
305,False,Smoothness (probability theory),False,1985
306,False,Statistical epidemiology,False,3120
307,False,Moran's I,False,3205
308,False,Marcum Q-function,True,1718
309,False,Goodman and Kruskal's lambda,False,3354
310,False,Language model,False,10025
311,False,Kullback–Leibler divergence,False,40541
312,False,Sampling bias,False,18925
313,False,Positive and negative predictive values,False,10174
314,False,Akaike information criterion,False,25540
315,False,Post-hoc analysis,False,12704
316,False,Comonotonicity,False,11706
317,False,Secular variation,False,5694
318,True,Uncertainty coefficient,False,4748
319,False,Statistical theory,False,12331
320,True,Random effects model,False,7795
321,False,SigmaStat,False,1995
322,False,Slice sampling,False,14303
323,False,Multivariate normal distribution,False,44555
324,False,Statistical regularity,False,1917
325,False,Ruin theory,False,8847
326,False,Data assimilation,False,14603
327,False,Grubbs' test for outliers,False,3954
328,False,All-pairs testing,False,9193
329,False,S (programming language),False,6345
330,False,Simulation,False,84667
331,False,Grand mean,False,1237
332,False,CURE data clustering algorithm,False,5461
333,False,Utility maximization problem,False,3457
334,False,Control limits,True,2288
335,False,Winsorized mean,False,2192
336,False,Proportional hazards model,False,15072
337,False,Bayesian approaches to brain function,False,14557
338,False,Pivotal quantity,False,6482
339,False,Principle of maximum entropy,False,23342
340,False,Linear classifier,False,5852
341,False,Scott's Pi,False,2702
342,False,Principal component regression,False,34456
343,False,Linear probability model,False,2323
344,False,Neutral vector,False,2818
345,False,Memorylessness,False,6021
346,False,Energy distance,False,15540
347,False,Scatter matrix,True,2056
348,False,Errors-in-variables models,False,33671
349,False,Noncentral t-distribution,False,14497
350,False,Mixture (probability),True,981
351,False,Novikov's condition,False,1787
352,False,Hidden Markov model,False,55080
353,False,Kingman's formula,False,1510
354,False,Entropy (information theory),False,49739
355,False,Risk factor,False,6416
356,False,Cohen's kappa,False,19405
357,False,Latent variable model,False,2822
358,False,Proportional reduction in loss,False,2706
359,False,Multivariate probit model,False,3423
360,False,Testing hypotheses suggested by the data,False,6292
361,False,SCORUS,True,635
362,False,Stein's unbiased risk estimate,False,4566
363,False,Umbrella sampling,False,5222
364,False,Poisson process,False,15124
365,False,Point pattern analysis,False,3853
366,False,History of statistics,False,58704
367,False,Concordant pair,False,2149
368,False,Pitman–Yor process,False,4268
369,False,Goodhart's law,False,2988
370,False,Bingham distribution,False,2236
371,False,Bonferroni correction,False,11050
372,False,Optimal design,False,45431
373,False,Record value,False,692
374,False,Closed testing procedure,False,2573
375,False,Trimmed estimator,False,4210
376,False,Population dynamics,False,14155
377,False,Functional boxplot,False,5821
378,False,Bangdiwala's B,False,4642
379,False,Projection pursuit regression,False,6592
380,False,Quantitative marketing research,False,9841
381,False,Tajima's D,False,15627
382,False,Stepwise regression,False,10742
383,False,Concomitant (statistics),False,3031
384,False,Rademacher distribution,False,4810
385,False,Mixing (mathematics),False,15533
386,False,Bühlmann model,False,7370
387,False,Felsenstein's tree-pruning algorithm,True,826
388,False,Unmatched count,False,3687
389,False,Central limit theorem,False,54314
390,False,Lomax distribution,False,4626
391,False,McDonald–Kreitman test,False,15928
392,False,Compound probability distribution,False,8191
393,False,Round robin test,False,1888
394,False,Martingale (probability theory),False,20524
395,False,Uncertainty,False,26269
396,False,Omnibus test,False,46015
397,False,Isotonic regression,False,5218
398,False,Statistical dispersion,False,6208
399,False,Fisher's noncentral hypergeometric distribution,False,13405
400,False,Univariate distribution,True,2517
401,False,Hat matrix,False,7014
402,False,Plackett–Burman design,False,38557
403,False,Group family,True,973
404,False,Canonical analysis,False,4657
405,False,Mathematical sciences,False,1972
406,False,Fides (reliability),False,8217
407,False,Principle of indifference,False,15341
408,False,Spectral density,False,33059
409,False,Galton's problem,False,16850
410,False,Heteroscedasticity,False,18770
411,False,Hidden Markov random field,False,1755
412,False,Multiple correspondence analysis,False,8245
413,False,Barnes interpolation,False,5223
414,False,Sampling frame,False,8934
415,False,Calculus of predispositions,False,4307
416,False,Testimator,False,1791
417,False,Cauchy–Schwarz inequality,False,21610
418,False,Unevenly spaced time series,False,5542
419,False,Test score,False,2828
420,False,OxMetrics,False,3391
421,False,miaou,False,31
422,False,Econometrics,False,32106
423,False,Exponential dispersion model,False,1766
424,False,Distance correlation,False,19899
425,False,Ordered probit,True,2034
426,False,X-bar chart,False,1671
427,False,Sampling fraction,True,752
428,False,Iris flower data set,False,15066
429,False,Parametric family,False,2133
430,False,Combinatorics,False,22020
431,False,Probability density function,False,24722
432,False,SUDAAN,False,3420
433,False,Configural frequency analysis,False,8575
434,False,Mean reciprocal rank,False,2078
435,False,Error correction model,False,4878
436,False,Life table,False,10480
437,False,Dummy variable (statistics),False,29623
438,False,Variance decomposition of forecast errors,False,2971
439,False,Nonparametric statistics,False,11891
440,False,Circular error probable,False,4930
441,False,Bayesian inference,False,49876
442,False,Autocovariance,False,3285
443,False,Simulated annealing,False,27303
444,False,Coalescent theory,False,20570
445,False,Transiogram,True,1277
446,False,Statistical parameter,False,3763
447,False,Time reversibility,False,3800
448,False,U-chart,False,2585
449,False,Change detection (GIS),False,1104
450,False,Fast Fourier transform,False,38029
451,False,Latent variable,False,5456
452,False,Slutsky's theorem,False,3257
453,False,Statistical model,False,11004
454,False,Human subject research,False,39839
455,False,Sammon mapping,True,3561
456,False,Additive smoothing,False,4329
457,False,68–95–99.7 rule,False,9359
458,False,Data,False,8626
459,False,Behrens–Fisher problem,False,13301
460,False,Brownian motion,False,47431
461,False,Alignments of random points,False,8127
462,False,Bayesian network,False,52485
463,False,Census,False,29283
464,False,Latent Dirichlet allocation,False,28047
465,False,Semiparametric model,False,3635
466,True,Exact test,False,5188
467,False,Howland will forgery trial,False,3922
468,False,Stochastic gradient descent,False,13279
469,False,Consistency (statistics),False,3377
470,False,Sparse binary polynomial hashing,True,659
471,False,Maximum spacing estimation,False,25136
472,False,X-12-ARIMA,True,1899
473,False,Detailed balance,False,32928
474,False,Bayes classifier,False,2336
475,False,Negative relationship,True,906
476,False,Logit-normal distribution,False,9903
477,False,Correlation ratio,False,5303
478,False,Multivariate adaptive regression splines,False,21533
479,False,Sum of normally distributed random variables,False,10102
480,False,Gallagher Index,False,7909
481,False,Scoring algorithm,False,2084
482,False,Consensus-based assessment,False,10421
483,False,Sensitivity analysis,False,45426
484,False,Mabinogion sheep problem,False,2034
485,False,Stopping time,False,11368
486,True,Page's trend test,False,4234
487,False,Structural break,False,4606
488,False,Multiple-indicator kriging,False,737
489,False,Coherence (statistics),False,1944
490,False,Dixon's Q test,False,4945
491,False,Correlation function (quantum field theory),False,1284
492,False,Durbin–Watson statistic,False,13772
493,False,BMDP,False,742
494,False,Law of truly large numbers,False,3691
495,False,Main effect,True,1425
496,False,Generalized expected utility,False,2539
497,False,Expected value,False,33648
498,False,Winsorising,True,3180
499,False,Taguchi loss function,False,1257
500,False,Chain rule for Kolmogorov complexity,False,4457
501,False,Gambler's ruin,False,12693
502,False,Polynomial and rational function modeling,False,12400
503,False,Descriptive research,True,3774
504,False,Polynomial chaos,False,6691
505,False,Replication (statistics),False,3301
506,False,Geometric median,False,18515
507,False,Gauss–Markov process,False,2839
508,False,Mean absolute percentage error,False,2960
509,False,Particle filter,False,22354
510,False,Classical test theory,False,12878
511,False,Accuracy and precision,False,16602
512,False,Absolute risk reduction,False,3564
513,False,Compositional data,False,5540
514,False,Randomized controlled trial,False,78678
515,False,Poly-Weibull distribution,True,1122
516,False,Rossmo's formula,False,7064
517,False,Focused information criterion,False,5900
518,False,SPSS Modeler,False,7825
519,False,Survey data collection,False,15851
520,False,Rasch model estimation,False,4153
521,False,Optimal decision,False,3807
522,False,Order of integration,False,2034
523,False,Mean square quantization error,False,525
524,False,Parabolic fractal distribution,False,1454
525,False,Response bias,False,30995
526,False,Bayesian,False,1147
527,False,Kernel density estimation,False,28227
528,False,Antithetic variates,False,3746
529,False,Experimental design diagram,False,1373
530,False,Zipf–Mandelbrot law,False,6231
531,False,Morris method,False,5925
532,False,Seasonally adjusted annual rate,False,905
533,False,Crystal Ball function,False,2511
534,False,Cochran's C test,False,6992
535,False,T distribution,False,327
536,False,Information theory,False,40726
537,False,Wrapped exponential distribution,False,4201
538,False,Scaled inverse chi-squared distribution,False,12836
539,False,Mean integrated squared error,True,926
540,False,Multivariate kernel density estimation,False,27377
541,False,ANOVA on ranks,False,11464
542,False,Root mean square fluctuation,False,1101
543,False,Multiple-try Metropolis,False,6943
544,False,Fowlkes–Mallows index,False,5486
545,False,Ergodic theory,False,22884
546,False,Logistic regression,False,76870
547,False,Probability theory,False,21446
548,False,Acquiescence bias,True,3369
549,False,Cluster analysis,False,47715
550,False,Eddy covariance,False,11408
551,False,Mean,False,13392
552,False,Chebyshev center,False,6684
553,False,Projection pursuit,True,4546
554,False,CMA-ES,False,43929
555,False,Normal-exponential-gamma distribution,True,2469
556,False,D',True,2193
557,False,Finite-dimensional distribution,False,3084
558,False,Factorial code,False,2643
559,False,GLUE (uncertainty assessment),False,2509
560,False,Holm–Bonferroni method,False,12030
561,False,Probability distribution,False,26263
562,False,KPSS test,False,1441
563,False,Lévy flight,False,10671
564,False,Pythagorean expectation,False,19548
565,False,Uncorrelated,False,4109
566,False,Freedman's paradox,True,1436
567,False,Schramm–Loewner evolution,False,17627
568,False,Unimodality,False,12072
569,False,Fisher information,False,33196
570,False,Restricted randomization,False,23106
571,False,Labour Force Survey,False,6136
572,False,Mixture model,False,49699
573,False,Deviation analysis,False,456
574,False,Rounding,False,37358
575,False,Correct sampling,True,1160
576,False,Free statistical software,False,27418
577,False,Correlate summation analysis,False,5371
578,False,Total least squares,False,19824
579,False,Welch–Satterthwaite equation,False,2946
580,False,Chi distribution,False,6884
581,False,German tank problem,False,32284
582,False,G/G/1 queue,False,2583
583,False,Kumaraswamy distribution,False,6911
584,False,Threshold model,False,3959
585,False,Common-method variance,True,4163
586,False,Observational study,False,10094
587,False,Interquartile range,False,5842
588,False,Little's law,False,9056
589,False,Heston model,False,11079
590,False,Discrepancy function,True,1833
591,False,Challenge–dechallenge–rechallenge,False,6056
592,False,Pareto interpolation,False,2390
593,False,Diversity index,False,18270
594,False,Generalized linear model,False,29915
595,False,Pseudomedian,True,2116
596,False,Location test,True,5167
597,False,Midhinge,False,1312
598,False,Ridit scoring,False,3185
599,False,Martingale difference sequence,False,1454
600,False,Experimental event rate,True,1568
601,False,Convolution random number generator,False,1783
602,False,A priori probability,False,2165
603,False,Lorenz curve,False,13064
604,False,Fuzzy logic,False,32584
605,False,Acceptance sampling,False,5318
606,False,Data point,True,2017
607,False,Random graph,False,11587
608,False,Barnard's test,False,5212
609,False,Variance gamma process,False,9902
610,False,Wike's law of low odd primes,False,1675
611,False,Statistical randomness,False,6779
612,False,Bhatia–Davis inequality,False,1256
613,False,P-value,False,37129
614,False,Vysochanskij–Petunin inequality,False,2686
615,False,Range (statistics),False,5664
616,False,Lilliefors test,False,2975
617,False,Hurst exponent,False,13083
618,False,Foster's theorem,False,1511
619,False,Experimental uncertainty analysis,False,86403
620,False,Dirichlet-multinomial distribution,False,30213
621,False,Lumpability,False,4117
622,False,Doomsday argument,False,50610
623,False,Degenerate distribution,False,3943
624,False,Inclusion probability,False,1502
625,False,Cepstrum,False,9288
626,False,Interim analysis,False,4727
627,False,Cartography,False,39601
628,False,Relative risk reduction,False,1216
629,False,Aggregate pattern,True,2493
630,False,De Moivre–Laplace theorem,False,7050
631,False,Variable-order Bayesian network,False,2844
632,False,Reproducibility,False,13547
633,False,Alpha beta filter,False,15247
634,False,Energy statistics,False,3146
635,False,Data cleansing,False,16088
636,False,"Generalized additive model for location, scale and shape",False,10235
637,False,Moral graph,False,1602
638,False,Non-negative matrix factorization,False,35654
639,False,Hedonic regression,False,13657
640,False,Multivariate random variable,False,10821
641,False,Markov chain mixing time,False,3950
642,False,Spearman's rank correlation coefficient,False,17020
643,False,Empirical orthogonal functions,True,3354
644,False,Method of simulated moments,True,2099
645,True,Explained variation,False,5834
646,False,Bayes linear statistics,False,7237
647,False,Matrix population models,False,4704
648,False,Log-linear model,False,1588
649,False,Np-chart,False,2157
650,False,Base rate,False,3508
651,False,Hoeffding's inequality,False,11751
652,False,XploRe,False,1796
653,False,Clinical endpoint,False,8852
654,False,Missing data,False,15132
655,False,Confidence and prediction bands,False,7972
656,False,Earth mover's distance,False,8306
657,False,Data classification (business intelligence),False,2733
658,False,Probabilistic proposition,True,777
659,False,Spatial descriptive statistics,False,5106
660,False,Kriging,False,27778
661,False,Self-organizing map,False,26312
662,False,Template talk:List resources,False,27
663,False,Matrix t-distribution,False,8585
664,False,Random compact set,False,3399
665,True,Political forecasting,False,3638
666,False,Outlier,False,20118
667,False,Normal variance-mean mixture,False,2525
668,False,Null distribution,True,452
669,False,Quantitative parasitology,False,7994
670,False,Multiple of the median,False,2413
671,False,Additive white Gaussian noise,False,14563
672,False,Marginal distribution,False,9518
673,False,Quantum (Statistical programming language),False,1045
674,False,Minitab,True,4692
675,False,Inverse Mills ratio,False,3333
676,False,Analyse-it,False,3410
677,False,Institutional review board,False,23104
678,False,Pearson product-moment correlation coefficient,False,37842
679,False,Kendall tau distance,False,5085
680,False,Fiducial inference,False,12424
681,False,Hyperbolic distribution,False,3959
682,False,Relevance vector machine,False,2678
683,False,Exponentially modified Gaussian distribution,False,9866
684,False,Probable error,False,2105
685,False,Cramér–von Mises criterion,False,6053
686,False,Logistic function,False,21363
687,False,Dirichlet process,False,26471
688,False,Choropleth map,False,9663
689,False,Bayesian game,False,15433
690,False,Association mapping,False,5991
691,False,Study heterogeneity,False,4017
692,False,Rind et al. controversy,False,53500
693,False,Correspondence analysis,False,6427
694,False,Nominal category,False,2046
695,False,Factorial experiment,False,10649
696,False,Path space,False,492
697,False,Volatility (finance),False,18537
698,False,Propagation of uncertainty,False,22611
699,False,Minimum viable population,False,6023
700,False,Single-equation methods (econometrics),True,763
701,False,Itō isometry,False,1822
702,False,Probability,False,29531
703,False,Placebo-controlled study,False,34713
704,False,Seasonal adjustment,False,6145
705,False,Calculating demand forecast accuracy,False,3605
706,False,Renewal theory,False,15714
707,False,Area compatibility factor,True,1212
708,False,Almost surely,False,10718
709,False,Homogenization (climate),False,18281
710,False,Negative multinomial distribution,False,11353
711,False,Separation test,True,613
712,False,Ignorability,False,1276
713,False,Maximum likelihood,False,49881
714,False,Lincoln index,False,4543
715,False,Probability and statistics,False,947
716,False,Player wins,False,399
717,False,Recall bias,False,2387
718,False,Kaplan–Meier estimator,False,7517
719,False,Metropolis–Hastings algorithm,False,21793
720,False,Bayesian probability,False,25431
721,False,Demand forecasting,False,1768
722,False,Root-mean-square deviation of atomic positions,False,7231
723,False,Observational error,False,3352
724,False,Law of averages,False,3610
725,False,Adapted process,False,3237
726,False,Signal-to-noise statistic,True,1654
727,False,Method of support,True,934
728,False,Probability of error,True,2240
729,False,Correction for attenuation,False,5717
730,False,Resampling (statistics),False,32345
731,False,Lander–Green algorithm,True,1165
732,False,Partial leverage,False,3175
733,False,Template talk:Outline footer,False,2683
734,False,Phase-type distribution,False,13118
735,False,Indecomposable distribution,False,5906
736,False,SimFiT,True,2453
737,False,Pareto distribution,False,33537
738,False,P-rep,False,5246
739,False,Mendelian randomization,False,6404
740,False,Quantile regression,False,15456
741,False,Statistical unit,False,5216
742,False,Humanities,False,39715
743,False,Epidemiology,False,57902
744,False,Friendship paradox,False,9547
745,False,Bernoulli process,False,18346
746,False,Law (stochastic processes),False,1954
747,False,Randomized block design,False,13727
748,False,Mallows's Cp,False,5479
749,False,Observational equivalence,True,2493
750,False,Zipf's law,False,21470
751,False,Lag windowing,False,703
752,False,Data Desk,False,2606
753,False,Multiple comparisons problem,False,25306
754,False,Marginal model,True,1520
755,False,Hazard ratio,False,13852
756,False,Markov's inequality,False,6398
757,False,Hellin's law,True,1917
758,False,JMulTi,False,1660
759,False,Topic model,False,11317
760,False,Group testing,False,14425
761,False,Length time bias,False,2125
762,False,Luby transform code,False,9668
763,False,Random measure,False,3161
764,True,Most probable number,False,3001
765,False,Log-Laplace distribution,False,2304
766,False,Meta-regression,False,7035
767,False,Erlang (unit),False,21457
768,False,Expected value of sample information,False,8212
769,False,Ecological study,False,8103
770,False,Mean absolute scaled error,False,2652
771,False,Serial dependence,True,1187
772,False,Gerschenkron effect,False,1384
773,True,V-optimal histograms,False,9194
774,False,Wang and Landau algorithm,False,9636
775,False,Theory of conjoint measurement,False,45510
776,False,Voigt profile,False,9619
777,False,Empirical process,False,5369
778,False,Panjer recursion,False,4073
779,False,Ceiling effect (statistics),False,12229
780,False,Tweedie distribution,False,44434
781,False,Variance-stabilizing transformation,False,2339
782,False,Ensemble Kalman filter,False,22771
783,False,Mathematical modelling of infectious disease,False,13802
784,False,Bootstrap error-adjusted single-sample technique,False,4524
785,False,Probability interpretations,False,34796
786,False,Fast Kalman filter,False,10658
787,False,Generalized Pareto distribution,False,9113
788,False,Auxiliary particle filter,True,2242
789,False,Neyman construction,False,1179
790,False,Qualitative property,False,2420
791,False,Empirical probability,False,5292
